Site        X          Y        Z        Latitude      Longitude    Height    Rec. Type    Ant.Type
      ITRF96(m)   ITRF96(m)   ITRF96(m)   WGS84(deg.)   WGS84(deg.)  WGS84(m)
A4 1X F14.2 F14.2 F14.2 F14.7 F14.7 F14.2 2X A7 2X A7
alpp    -2517069.77   -4598512.97    3622424.54    34.8248455  -118.6947988        918.10  ASHTECH  ASH7019
alrt      388042.75    -740382.40    6302001.85    82.4943782   -62.3404602         78.11  ASHTECH  ASH7019
amc2    -1248596.25   -4819428.28    3976506.03    38.8035524  -104.5245942       1911.49  ASHTECH  AOAD/M_
amu2         -43.95       -115.99   -6359575.31   -89.9988900  -110.7539508       2823.00  TRIMBLE  ASH7009
ana1    -2595092.17   -4612420.54    3547838.84    34.0153059  -119.3634680         22.44  TRIMBLE  ASH7019
ankr     4121934.26    2652189.81    4069034.91    39.8878873    32.7585788        974.77  TPS E_G  TPSCR3_
aqui     4592506.04    1089876.07    4276392.39    42.3686093    13.3502492        711.51  TRIMBLE  TRM2965
areq     1942826.19   -5804070.33   -1796894.27   -16.4657750   -71.4927967       2488.92  ASHTECH  AOAD/M_
argu    -2386308.68   -4579773.06    3733733.81    36.0504212  -117.5219433       1791.35  TRIMBLE  TRM2965
arli    -2267100.82   -3608212.08    4729822.65    48.1743842  -122.1418428         23.64  TRIMBLE  TRM5597
arm1    -2522434.77   -4567498.36    3656064.70    35.2003087  -118.9100000         76.86  ASHTECH  ASH7019
arm2    -2522434.75   -4567498.33    3656064.68    35.2003087  -118.9100000         76.82  ASHTECH  ASH7019
artu     1843956.97    3016202.97    5291261.66    56.4301319    58.5604521        247.51  ASHTECH  ASH7009
ashm    -2266266.92   -4617961.26    3759716.64    36.3462810  -116.1395200        911.00  TRIMBLE  TRM2965
asky      830039.86   -1341716.70    6159895.32    75.7262733   -58.2574000        670.00  TRIMBLE  TRM2965
aspa    -6100258.84    -996506.21   -1567978.83   -14.3262629  -170.7224071         53.14  TRIMBLE  TRM5597
atw2    -2610899.18   -1560593.08    5587416.76    61.5980285  -149.1322910         97.09  TRIMBLE  TRM2965
auck    -5105681.08     461564.04   -3782181.66   -36.6031614   174.8343856        132.71  TRIMBLE  TRM4124
avry    -2402750.88   -4684503.11    3589896.53    34.4686487  -117.1539580        889.61  TRIMBLE  TRM5980
av01    -2915632.44   -1456172.15    5464818.63    59.3588394  -153.4608010        487.23  TRIMBLE  TRM2965
av02    -2916881.45   -1458858.07    5463145.54    59.3332699  -153.4283910        229.79  TRIMBLE  TRM2965
av04    -2915070.32   -1456916.85    5465417.63    59.3629151  -153.4446720        915.95  TRIMBLE  TRM2965
av06    -3629267.05    -920656.51    5146731.29    54.1475126  -165.7657200        463.09  TRIMBLE  TRM2965
av07    -3632262.68    -903030.38    5147805.48    54.1632739  -166.0385360        521.06  TRIMBLE  TRM2965
av08    -3634477.19    -904272.36    5146131.49    54.1366404  -166.0282710        598.40  TRIMBLE  TRM2965
av09    -3664985.53    -877055.35    5128680.74    53.8759481  -166.5418360        105.68  TRIMBLE  TRM2965
av11    -2911723.59   -1460965.51    5465184.64    59.3709176  -153.3546620        114.40  TRIMBLE  TRM2965
av12    -3625773.24    -910896.38    5150828.67    54.2111290  -165.8975460        404.70  TRIMBLE  TRM2965
av13    -3630881.48    -912161.59    5147141.72    54.1534164  -165.8978150        494.75  TRIMBLE  TRM2965
av14    -3632918.72    -916465.84    5144832.44    54.1192239  -165.8415680        396.34  TRIMBLE  TRM2965
av16    -2914955.66   -1451119.27    5465974.82    59.3861958  -153.5350220         24.86  TRIMBLE  TRM2965
av17    -2911290.14   -1454598.94    5467001.17    59.4042309  -153.4514220         28.89  TRIMBLE  TRM2965
av18    -2913089.42   -1456426.30    5465958.25    59.3807369  -153.4368120        366.70  TRIMBLE  TRM2965
